# Freq_range	Reflection	Transmission
0.060000	0.177470	1.033449
0.060080	0.186642	1.049978
0.060160	0.187576	0.975904
0.060240	0.206352	0.900811
0.060320	0.240667	0.909459
0.060400	0.262227	0.945766
0.060480	0.263515	0.911708
0.060561	0.271162	0.827796
0.060641	0.301900	0.792888
0.060721	0.333859	0.820355
0.060801	0.342319	0.822164
0.060881	0.341148	0.757244
0.060961	0.360051	0.694682
0.061041	0.394766	0.695404
0.061121	0.413722	0.714743
0.061201	0.410676	0.681582
0.061281	0.415242	0.614849
0.061361	0.443332	0.586988
0.061441	0.470454	0.603560
0.061522	0.472733	0.598940
0.061602	0.466806	0.547238
0.061682	0.481741	0.501429
0.061762	0.510338	0.502302
0.061842	0.521525	0.513363
0.061922	0.512564	0.485299
0.062002	0.513264	0.436758
0.062082	0.535717	0.419414
0.062162	0.554419	0.431855
0.062242	0.549572	0.425533
0.062322	0.540081	0.386884
0.062402	0.551231	0.356974
0.062482	0.572349	0.360910
0.062563	0.575478	0.368001
0.062643	0.562543	0.345532
0.062723	0.561457	0.312260
0.062803	0.578857	0.304333
0.062883	0.589593	0.315014
0.062963	0.579669	0.308466
0.063043	0.569394	0.280302
0.063123	0.578498	0.262733
0.063203	0.593173	0.269370
0.063283	0.590179	0.273996
0.063363	0.576063	0.256086
0.063443	0.575349	0.234207
0.063524	0.588963	0.233064
0.063604	0.593419	0.242385
0.063684	0.580951	0.235872
0.063764	0.572074	0.215523
0.063844	0.580333	0.206711
0.063924	0.589837	0.214892
0.064004	0.582859	0.217629
0.064084	0.569649	0.203237
0.064164	0.570365	0.189583
0.064244	0.580943	0.192896
0.064324	0.580716	0.200867
0.064404	0.567655	0.194499
0.064484	0.561182	0.180020
0.064565	0.568874	0.177320
0.064645	0.574134	0.186164
0.064725	0.564865	0.187467
0.064805	0.553650	0.175955
0.064885	0.555806	0.168384
0.064965	0.563572	0.174618
0.065045	0.559913	0.181401
0.065125	0.547446	0.175427
0.065205	0.543396	0.165626
0.065285	0.550172	0.167389
0.065365	0.551815	0.176527
0.065445	0.541418	0.176962
0.065526	0.532422	0.168106
0.065606	0.535358	0.165369
0.065686	0.540253	0.173776
0.065766	0.534064	0.179819
0.065846	0.522674	0.174700
0.065926	0.520366	0.169029
0.066006	0.525565	0.174474
0.066086	0.524008	0.184086
0.066166	0.513096	0.184438
0.066246	0.505840	0.178423
0.066326	0.508497	0.180064
0.066406	0.510310	0.190656
0.066486	0.502107	0.196812
0.066567	0.491585	0.193331
0.066647	0.489813	0.191890
0.066727	0.492584	0.201108
0.066807	0.487978	0.212039
0.066887	0.476536	0.213515
0.066967	0.469874	0.211086
0.067047	0.470869	0.217538
0.067127	0.469171	0.231247
0.067207	0.458921	0.239046
0.067287	0.448292	0.238596
0.067367	0.445320	0.242363
