# Freq_range	Reflection	Transmission
0.086000	0.858660	0.032839
0.086028	0.971873	0.031424
0.086056	1.091592	0.030653
0.086084	1.190723	0.030402
0.086112	1.247722	0.030446
0.086140	1.251256	0.030511
0.086168	1.202408	0.030341
0.086196	1.114017	0.029750
0.086224	1.007403	0.028663
0.086252	0.907277	0.027126
0.086280	0.836079	0.025294
0.086308	0.808992	0.023388
0.086336	0.830774	0.021644
0.086364	0.895027	0.020262
0.086392	0.986001	0.019357
0.086420	1.082450	0.018944
0.086448	1.162592	0.018928
0.086476	1.209029	0.019141
0.086505	1.212520	0.019372
0.086533	1.173796	0.019421
0.086561	1.103076	0.019141
0.086589	1.017454	0.018472
0.086617	0.936833	0.017445
0.086645	0.879353	0.016175
0.086673	0.857364	0.014835
0.086701	0.874825	0.013608
0.086729	0.926689	0.012650
0.086757	1.000319	0.012056
0.086785	1.078576	0.011839
0.086813	1.143822	0.011932
0.086841	1.181908	0.012203
0.086869	1.185251	0.012492
0.086897	1.154332	0.012640
0.086925	1.097340	0.012532
0.086953	1.028084	0.012117
0.086981	0.962708	0.011416
0.087009	0.915981	0.010517
0.087037	0.898014	0.009554
0.087065	0.912126	0.008669
0.087093	0.954304	0.007988
0.087121	1.014333	0.007587
0.087149	1.078291	0.007479
0.087177	1.131792	0.007614
0.087205	1.163248	0.007891
0.087233	1.166393	0.008184
0.087261	1.141531	0.008369
0.087289	1.095274	0.008353
0.087317	1.038857	0.008093
0.087345	0.985468	0.007605
0.087373	0.947219	0.006955
0.087401	0.932448	0.006248
0.087429	0.943950	0.005596
0.087457	0.978512	0.005100
0.087485	1.027820	0.004821
0.087514	1.080477	0.004773
0.087542	1.124669	0.004918
0.087570	1.150836	0.005177
0.087598	1.153765	0.005450
0.087626	1.133636	0.005640
0.087654	1.095824	0.005671
0.087682	1.049537	0.005508
0.087710	1.005629	0.005160
0.087738	0.974105	0.004680
0.087766	0.961886	0.004150
0.087794	0.971341	0.003660
0.087822	0.999883	0.003290
0.087850	1.040691	0.003091
0.087878	1.084369	0.003075
0.087906	1.121142	0.003214
0.087934	1.143069	0.003446
0.087962	1.145782	0.003691
0.087990	1.129372	0.003871
0.088018	1.098242	0.003924
0.088046	1.059995	0.003821
0.088074	1.023629	0.003568
0.088102	0.997465	0.003207
0.088130	0.987295	0.002801
0.088158	0.995137	0.002425
0.088186	1.018891	0.002143
0.088214	1.052921	0.001997
0.088242	1.089424	0.001998
0.088270	1.120254	0.002125
0.088298	1.138764	0.002328
0.088326	1.141270	0.002543
0.088354	1.127799	0.002707
0.088382	1.101987	0.002769
0.088410	1.070156	0.002704
0.088438	1.039819	0.002517
0.088466	1.017952	0.002239
0.088494	1.009433	0.001923
0.088523	1.015995	0.001628
0.088551	1.035919	0.001409
0.088579	1.064514	0.001298
0.088607	1.095253	0.001308
0.088635	1.121295	0.001420
0.088663	1.137037	0.001596
0.088691	1.139349	0.001784
0.088719	1.128215	0.001930
0.088747	1.106656	0.001994
0.088775	1.079971	0.001953
0.088803	1.054481	0.001811
0.088831	1.036075	0.001594
0.088859	1.028892	0.001344
0.088887	1.034430	0.001109
0.088915	1.051273	0.000934
0.088943	1.075486	0.000848
0.088971	1.101568	0.000861
0.088999	1.123733	0.000960
0.089027	1.137221	0.001111
0.089055	1.139355	0.001274
0.089083	1.130087	0.001403
0.089111	1.111948	0.001465
0.089139	1.089412	0.001441
0.089167	1.067837	0.001331
0.089195	1.052232	0.001158
0.089223	1.046135	0.000956
0.089251	1.050848	0.000766
0.089279	1.065198	0.000624
0.089307	1.085859	0.000556
0.089335	1.108160	0.000570
0.089363	1.127167	0.000655
0.089391	1.138812	0.000786
0.089419	1.140782	0.000927
0.089447	1.133012	0.001041
0.089475	1.117637	0.001099
0.089504	1.098462	0.001085
0.089532	1.080064	0.001000
0.089560	1.066736	0.000860
0.089588	1.061524	0.000695
0.089616	1.065569	0.000538
0.089644	1.077891	0.000421
0.089672	1.095658	0.000365
0.089700	1.114872	0.000378
0.089728	1.131297	0.000452
0.089756	1.141424	0.000565
0.089784	1.143248	0.000688
0.089812	1.136685	0.000789
0.089840	1.123553	0.000842
0.089868	1.107114	0.000835
0.089896	1.091305	0.000767
0.089924	1.079835	0.000653
0.089952	1.075347	0.000515
0.089980	1.078848	0.000384
0.090008	1.089510	0.000286
0.090036	1.104907	0.000239
0.090064	1.121590	0.000251
0.090092	1.135893	0.000316
0.090120	1.144767	0.000414
0.090148	1.146457	0.000521
0.090176	1.140872	0.000610
0.090204	1.129569	0.000659
0.090232	1.115364	0.000657
0.090260	1.101674	0.000602
0.090288	1.091727	0.000507
0.090316	1.087832	0.000391
0.090344	1.090884	0.000280
0.090372	1.100184	0.000196
0.090400	1.113631	0.000156
0.090428	1.128227	0.000167
0.090456	1.140777	0.000223
0.090484	1.148611	0.000308
0.090513	1.150182	0.000402
0.090541	1.145391	0.000482
0.090569	1.135583	0.000527
0.090597	1.123211	0.000528
0.090625	1.111262	0.000483
0.090653	1.102564	0.000403
0.090681	1.099157	0.000304
0.090709	1.101838	0.000208
0.090737	1.110012	0.000136
0.090765	1.121846	0.000101
0.090793	1.134717	0.000110
0.090821	1.145814	0.000159
0.090849	1.152781	0.000235
0.090877	1.154244	0.000318
0.090905	1.150100	0.000389
0.090933	1.141519	0.000431
0.090961	1.130654	0.000434
0.090989	1.120137	0.000396
0.091017	1.112469	0.000328
