# Freq_range	Reflection	Transmission
0.080000	1.010717	0.016545
0.080040	0.927053	0.017568
0.080080	0.788875	0.016772
0.080120	0.662851	0.014396
0.080160	0.607797	0.011408
0.080200	0.647515	0.009018
0.080240	0.760850	0.008108
0.080280	0.893018	0.008838
0.080320	0.982247	0.010611
0.080360	0.988805	0.012380
0.080400	0.912810	0.013160
0.080440	0.792887	0.012475
0.080480	0.686913	0.010558
0.080521	0.644403	0.008203
0.080561	0.683685	0.006377
0.080601	0.784352	0.005759
0.080641	0.898012	0.006444
0.080681	0.971758	0.007923
0.080721	0.972988	0.009350
0.080761	0.903977	0.009946
0.080801	0.799709	0.009358
0.080841	0.710527	0.007801
0.080881	0.678158	0.005932
0.080921	0.716512	0.004526
0.080961	0.806057	0.004112
0.081001	0.903980	0.004738
0.081041	0.964886	0.005974
0.081081	0.962071	0.007129
0.081121	0.899409	0.007585
0.081161	0.808598	0.007078
0.081201	0.733510	0.005806
0.081241	0.709338	0.004313
0.081281	0.746427	0.003224
0.081321	0.826200	0.002952
0.081361	0.910714	0.003516
0.081401	0.960961	0.004550
0.081441	0.955117	0.005488
0.081481	0.898217	0.005836
0.081522	0.818998	0.005399
0.081562	0.755765	0.004353
0.081602	0.738215	0.003151
0.081642	0.773820	0.002303
0.081682	0.844999	0.002131
0.081722	0.918068	0.002634
0.081762	0.959455	0.003501
0.081802	0.951382	0.004265
0.081842	0.899706	0.004532
0.081882	0.830494	0.004152
0.081922	0.777250	0.003287
0.081962	0.765043	0.002314
0.082002	0.799036	0.001649
0.082042	0.862648	0.001547
0.082082	0.925930	0.001994
0.082122	0.959947	0.002722
0.082162	0.950274	0.003348
0.082202	0.903328	0.003550
0.082242	0.842769	0.003220
0.082282	0.797956	0.002499
0.082322	0.790055	0.001707
0.082362	0.822373	0.001183
0.082402	0.879318	0.001130
0.082442	0.934216	0.001526
0.082482	0.962094	0.002140
0.082523	0.951314	0.002654
0.082563	0.908644	0.002807
0.082603	0.855583	0.002518
0.082643	0.817898	0.001914
0.082683	0.813458	0.001265
0.082723	0.844088	0.000850
0.082763	0.895152	0.000832
0.082803	0.942855	0.001181
0.082843	0.965616	0.001701
0.082883	0.954112	0.002125
0.082923	0.915305	0.002239
0.082963	0.868749	0.001985
0.083003	0.837101	0.001476
0.083043	0.835438	0.000941
0.083083	0.864398	0.000611
0.083123	0.910271	0.000616
0.083163	0.951788	0.000925
0.083203	0.970281	0.001368
0.083243	0.958348	0.001718
