# Freq_range	Reflection	Transmission
0.080000	1.011147	0.016655
0.080040	0.927239	0.017670
0.080080	0.788751	0.016864
0.080120	0.662495	0.014481
0.080160	0.607391	0.011490
0.080200	0.647258	0.009099
0.080240	0.760864	0.008190
0.080280	0.893293	0.008921
0.080320	0.982650	0.010691
0.080360	0.989145	0.012457
0.080400	0.912931	0.013232
0.080440	0.792739	0.012543
0.080480	0.686570	0.010622
0.080521	0.644027	0.008265
0.080561	0.683449	0.006438
0.080601	0.784355	0.005819
0.080641	0.898239	0.006502
0.080681	0.972089	0.007979
0.080721	0.973259	0.009404
0.080761	0.904055	0.009998
0.080801	0.799556	0.009409
0.080841	0.710213	0.007850
0.080881	0.677827	0.005979
0.080921	0.716310	0.004570
0.080961	0.806065	0.004154
0.081001	0.904177	0.004779
0.081041	0.965164	0.006014
0.081081	0.962287	0.007169
0.081121	0.899450	0.007626
0.081161	0.808437	0.007119
0.081201	0.733216	0.005845
0.081241	0.709038	0.004348
0.081281	0.746247	0.003256
0.081321	0.826207	0.002981
0.081361	0.910884	0.003544
0.081401	0.961194	0.004578
0.081441	0.955288	0.005518
0.081481	0.898232	0.005868
0.081522	0.818839	0.005431
0.081562	0.755496	0.004383
0.081602	0.737950	0.003179
0.081642	0.773669	0.002326
0.081682	0.845015	0.002151
0.081722	0.918224	0.002654
0.081762	0.959661	0.003522
0.081802	0.951526	0.004289
0.081842	0.899709	0.004557
0.081882	0.830346	0.004178
0.081922	0.777011	0.003310
0.081962	0.764817	0.002334
0.082002	0.798917	0.001665
0.082042	0.862678	0.001561
0.082082	0.926081	0.002008
0.082122	0.960134	0.002739
0.082162	0.950401	0.003367
0.082202	0.903326	0.003572
0.082242	0.842636	0.003241
0.082282	0.797749	0.002518
0.082322	0.789866	0.001722
0.082362	0.822284	0.001195
0.082402	0.879362	0.001140
0.082442	0.934364	0.001536
0.082482	0.962269	0.002153
0.082523	0.951428	0.002670
0.082563	0.908642	0.002824
0.082603	0.855465	0.002534
0.082643	0.817720	0.001928
0.082683	0.813303	0.001275
0.082723	0.844026	0.000858
0.082763	0.895210	0.000839
