# Freq_range	Reflection	Transmission
0.060000	0.178153	1.033874
0.060080	0.186691	1.049653
0.060160	0.187162	0.975190
0.060240	0.206447	0.900638
0.060320	0.241423	0.909798
0.060400	0.262684	0.945738
0.060480	0.263181	0.911056
0.060561	0.270858	0.827264
0.060641	0.302405	0.792966
0.060721	0.334597	0.820509
0.060801	0.342297	0.821769
0.060881	0.340619	0.756596
0.060961	0.360099	0.694466
0.061041	0.395495	0.695568
0.061121	0.414075	0.714634
0.061201	0.410201	0.681043
0.061281	0.414848	0.614438
0.061361	0.443762	0.587032
0.061441	0.471049	0.603646
0.061522	0.472539	0.598633
0.061602	0.466173	0.546786
0.061682	0.481722	0.501315
0.061762	0.510924	0.502447
0.061842	0.521678	0.513296
0.061922	0.511968	0.484944
0.062002	0.512838	0.436530
0.062082	0.536059	0.419512
0.062162	0.554818	0.431954
0.062242	0.549225	0.425348
0.062322	0.539436	0.386629
0.062402	0.551210	0.356978
0.062482	0.572799	0.361075
0.062563	0.575457	0.367989
0.062643	0.561916	0.345330
0.062723	0.561099	0.312181
0.062803	0.579164	0.304481
0.062883	0.589838	0.315127
0.062963	0.579252	0.308369
0.063043	0.568840	0.280184
0.063123	0.578547	0.262815
0.063203	0.593535	0.269540
0.063283	0.590056	0.274011
0.063363	0.575500	0.255981
0.063443	0.575133	0.234218
0.063524	0.589279	0.233229
0.063604	0.593564	0.242490
0.063684	0.580542	0.235819
0.063764	0.571677	0.215484
0.063844	0.580484	0.206829
0.063924	0.590145	0.215046
0.064004	0.582694	0.217646
0.064084	0.569209	0.203183
0.064164	0.570311	0.189639
0.064244	0.581278	0.193053
0.064324	0.580801	0.200949
0.064404	0.567305	0.194462
0.064484	0.560960	0.180021
0.064565	0.569118	0.177445
0.064645	0.574399	0.186287
0.064725	0.564698	0.187470
0.064805	0.553350	0.175924
0.064885	0.555895	0.168457
0.064965	0.563910	0.174752
0.065045	0.559956	0.181450
0.065125	0.547176	0.175391
0.065205	0.543329	0.165645
0.065285	0.550473	0.167503
0.065365	0.552034	0.176613
0.065445	0.541266	0.176944
0.065526	0.532251	0.168083
0.065606	0.535545	0.165442
0.065686	0.540567	0.173879
0.065766	0.534075	0.179833
0.065846	0.522482	0.174656
0.065926	0.520412	0.169051
0.066006	0.525878	0.174569
0.066086	0.524172	0.184133
0.066166	0.512964	0.184396
0.066246	0.505768	0.178398
0.066326	0.508730	0.180128
0.066406	0.510575	0.190724
0.066486	0.502088	0.196790
0.066567	0.491455	0.193274
0.066647	0.489924	0.191907
0.066727	0.492870	0.201178
0.066807	0.488083	0.212048
0.066887	0.476419	0.213448
0.066967	0.469862	0.211054
0.067047	0.471099	0.217587
0.067127	0.469369	0.231281
0.067207	0.458873	0.238991
0.067287	0.448199	0.238524
0.067367	0.445444	0.242371
0.067447	0.444766	0.256598
0.067528	0.436612	0.270638
0.067608	0.423661	0.275209
0.067688	0.415827	0.278080
0.067768	0.413533	0.291057
0.067848	0.407410	0.310108
0.067928	0.394138	0.322156
0.068008	0.381564	0.327178
0.068088	0.375251	0.338428
0.068168	0.369458	0.360257
0.068248	0.357086	0.380757
0.068328	0.341278	0.391723
0.068408	0.329699	0.402584
0.068488	0.321844	0.424812
0.068569	0.310360	0.452711
0.068649	0.293329	0.472776
0.068729	0.276978	0.486255
0.068809	0.265176	0.507265
0.068889	0.253523	0.539334
0.068969	0.237053	0.569282
0.069049	0.218189	0.588859
0.069129	0.202388	0.608416
0.069209	0.189500	0.639776
0.069289	0.174745	0.676401
0.069369	0.156750	0.703703
0.069449	0.139443	0.722733
0.069530	0.125682	0.748241
0.069610	0.113357	0.784118
0.069690	0.099459	0.816476
0.069770	0.084850	0.835836
0.069850	0.072595	0.852200
0.069930	0.063403	0.878333
0.070010	0.055217	0.908558
0.070090	0.046684	0.927640
0.070170	0.038891	0.935243
0.070250	0.033433	0.946174
0.070330	0.030222	0.966189
0.070410	0.027860	0.982740
0.070490	0.025465	0.985475
0.070571	0.023511	0.983031
0.070651	0.022915	0.989076
0.070731	0.023641	1.000549
0.070811	0.024510	1.003240
0.070891	0.024537	0.995224
0.070971	0.024108	0.990134
0.071051	0.024244	0.995401
0.071131	0.024838	1.000922
0.071211	0.024581	0.996089
0.071291	0.022841	0.987214
0.071371	0.020565	0.987391
0.071451	0.018700	0.995683
0.071532	0.016712	0.999214
0.071612	0.013670	0.994249
0.071692	0.010021	0.992066
0.071772	0.007022	1.000601
0.071852	0.004978	1.011737
0.071932	0.003467	1.014367
0.072012	0.003054	1.011743
0.072092	0.005209	1.015395
0.072172	0.010546	1.025881
0.072252	0.018875	1.031199
0.072332	0.031219	1.024871
0.072412	0.049829	1.014629
0.072492	0.075485	1.008439
0.072573	0.106795	1.000623
0.072653	0.143356	0.979857
0.072733	0.187372	0.945822
0.072813	0.240012	0.908477
0.072893	0.298035	0.872080
0.072973	0.357036	0.829453
0.073053	0.416764	0.774633
0.073133	0.479488	0.713320
0.073213	0.543429	0.655259
0.073293	0.602335	0.601349
0.073373	0.652951	0.545241
0.073453	0.698583	0.485540
0.073534	0.742402	0.429082
0.073614	0.781076	0.381166
0.073694	0.809460	0.338804
0.073774	0.829039	0.296819
0.073854	0.846065	0.256176
0.073934	0.861989	0.221800
0.074014	0.871827	0.194507
0.074094	0.873263	0.170035
0.074174	0.871483	0.145769
0.074254	0.871569	0.124016
0.074334	0.871007	0.107352
0.074414	0.864751	0.094205
0.074494	0.854386	0.081388
0.074575	0.846090	0.068779
0.074655	0.840874	0.058674
0.074735	0.833479	0.051561
0.074815	0.821685	0.045308
0.074895	0.810323	0.038557
0.074975	0.803342	0.032469
0.075055	0.797430	0.028341
0.075135	0.787905	0.025375
0.075215	0.776768	0.022057
0.075295	0.769309	0.018493
0.075375	0.765193	0.015893
0.075455	0.759185	0.014402
0.075536	0.750145	0.012927
0.075616	0.742903	0.010958
0.075696	0.739959	0.009242
0.075776	0.737273	0.008361
0.075856	0.731233	0.007776
0.075936	0.724784	0.006790
0.076016	0.722277	0.005659
0.076096	0.721995	0.005028
0.076176	0.719145	0.004812
0.076256	0.714066	0.004398
0.076336	0.711543	0.003687
0.076416	0.712522	0.003180
0.076496	0.712509	0.003076
0.076577	0.709305	0.002965
0.076657	0.706722	0.002559
0.076737	0.707939	0.002144
0.076817	0.710021	0.002042
0.076897	0.708999	0.002068
0.076977	0.706673	0.001877
0.077057	0.707437	0.001552
0.077137	0.710670	0.001420
0.077217	0.711826	0.001482
0.077297	0.710276	0.001435
0.077377	0.710334	0.001203
0.077457	0.713770	0.001043
0.077538	0.716758	0.001086
0.077618	0.716497	0.001124
0.077698	0.716019	0.000985
0.077778	0.718902	0.000816
0.077858	0.723083	0.000815
0.077938	0.724438	0.000890
0.078018	0.723901	0.000833
0.078098	0.725812	0.000679
0.078178	0.730393	0.000630
0.078258	0.733376	0.000704
0.078338	0.733390	0.000713
0.078418	0.734308	0.000594
0.078498	0.738520	0.000509
0.078579	0.742804	0.000556
0.078659	0.743910	0.000607
0.078739	0.744176	0.000537
0.078819	0.747455	0.000434
0.078899	0.752441	0.000441
0.078979	0.754942	0.000508
0.079059	0.755135	0.000488
0.079139	0.757244	0.000390
0.079219	0.762213	0.000357
0.079299	0.766078	0.000416
0.079379	0.766838	0.000439
0.079459	0.767911	0.000365
0.079540	0.772201	0.000302
0.079620	0.777066	0.000336
0.079700	0.778903	0.000385
0.079780	0.779389	0.000346
0.079860	0.782563	0.000271
0.079940	0.787825	0.000272
0.080020	0.790977	0.000327
0.080100	0.791504	0.000325
0.080180	0.793457	0.000256
0.080260	0.798429	0.000225
0.080340	0.802791	0.000270
0.080420	0.803987	0.000298
0.080501	0.804964	0.000249
0.080581	0.809059	0.000197
0.080661	0.814210	0.000219
0.080741	0.816531	0.000263
0.080821	0.817053	0.000242
0.080901	0.819934	0.000184
0.080981	0.825248	0.000178
0.081061	0.828849	0.000224
0.081141	0.829566	0.000232
0.081221	0.831236	0.000181
0.081301	0.836047	0.000151
0.081381	0.840740	0.000184
0.081461	0.842256	0.000213
0.081542	0.843048	0.000181
0.081622	0.846832	0.000136
0.081702	0.852133	0.000149
0.081782	0.854836	0.000188
0.081862	0.855329	0.000180
0.081942	0.857838	0.000133
0.082022	0.863094	0.000122
0.082102	0.867053	0.000159
0.082182	0.867909	0.000173
0.082262	0.869241	0.000135
0.082342	0.873807	0.000106
0.082422	0.878747	0.000130
0.082503	0.880534	0.000160
0.082583	0.881107	0.000139
0.082663	0.884516	0.000100
0.082743	0.889889	0.000105
0.082823	0.892927	0.000140
0.082903	0.893366	0.000140
0.082983	0.895456	0.000102
0.083063	0.900586	0.000087
0.083143	0.904852	0.000117
0.083223	0.905826	0.000135
0.083303	0.906789	0.000107
0.083383	0.911048	0.000078
0.083463	0.916182	0.000095
0.083544	0.918221	0.000124
0.083624	0.918551	0.000113
0.083704	0.921532	0.000077
0.083784	0.926923	0.000076
0.083864	0.930271	0.000108
0.083944	0.930642	0.000114
0.084024	0.932268	0.000082
0.084104	0.937214	0.000065
0.084184	0.941760	0.000089
0.084264	0.942843	0.000110
0.084344	0.943399	0.000090
0.084424	0.947293	0.000061
0.084505	0.952586	0.000071
0.084585	0.954870	0.000100
0.084665	0.954932	0.000096
0.084745	0.957426	0.000064
0.084825	0.962790	0.000058
0.084905	0.966442	0.000086
0.084985	0.966731	0.000097
0.085065	0.967839	0.000071
0.085145	0.972544	0.000051
0.085225	0.977356	0.000070
0.085305	0.978544	0.000093
0.085385	0.978649	0.000079
0.085465	0.982111	0.000051
0.085546	0.987540	0.000056
0.085626	0.990076	0.000084
0.085706	0.989840	0.000085
0.085786	0.991776	0.000056
0.085866	0.997072	0.000046
0.085946	1.001038	0.000071
0.086026	1.001232	0.000087
0.086106	1.001753	0.000064
0.086186	1.006159	0.000042
0.086266	1.011242	0.000057
0.086346	1.012546	0.000083
0.086426	1.012142	0.000073
0.086507	1.015094	0.000045
0.086587	1.020644	0.000046
0.086667	1.023456	0.000074
0.086747	1.022885	0.000079
0.086827	1.024173	0.000052
0.086907	1.029363	0.000038
0.086987	1.033676	0.000061
0.087067	1.033770	0.000081
0.087147	1.033612	0.000062
0.087227	1.037650	0.000037
0.087307	1.043032	0.000049
0.087387	1.044477	0.000076
0.087467	1.043489	0.000072
0.087548	1.045833	0.000042
0.087628	1.051511	0.000039
0.087708	1.054655	0.000067
0.087788	1.053706	0.000078
0.087868	1.054225	0.000052
0.087948	1.059277	0.000034
0.088028	1.064008	0.000055
0.088108	1.064004	0.000079
0.088188	1.063044	0.000064
0.088268	1.066633	0.000035
0.088348	1.072377	0.000043
0.088428	1.074020	0.000074
0.088509	1.072345	0.000075
0.088589	1.073948	0.000043
0.088669	1.079786	0.000035
0.088749	1.083366	0.000064
0.088829	1.081986	0.000081
0.088909	1.081567	0.000056
0.088989	1.086453	0.000032
0.089069	1.091732	0.000052
0.089149	1.091652	0.000082
0.089229	1.089712	0.000070
0.089309	1.092742	0.000037
0.089389	1.098972	0.000040
0.089469	1.100921	0.000076
0.089550	1.098412	0.000083
0.089630	1.099084	0.000048
0.089710	1.105152	0.000033
0.089790	1.109356	0.000065
0.089870	1.107480	0.000091
0.089950	1.105873	0.000065
0.090030	1.110567	0.000033
0.090110	1.116633	0.000052
0.090190	1.116528	0.000092
0.090270	1.113327	0.000084
0.090350	1.115634	0.000042
0.090430	1.122577	0.000040
0.090511	1.125030	0.000085
0.090591	1.121453	0.000101
0.090671	1.120881	0.000060
0.090751	1.127327	0.000034
0.090831	1.132507	0.000072
0.090911	1.130035	0.000111
0.090991	1.126794	0.000084
0.091071	1.131260	0.000038
0.091151	1.138555	0.000056
0.091231	1.138552	0.000113
0.091311	1.133609	0.000112
0.091391	1.134912	0.000055
0.091471	1.143012	0.000044
0.091552	1.146379	0.000104
0.091632	1.141331	0.000137
0.091712	1.138938	0.000085
0.091792	1.146039	0.000040
0.091872	1.152877	0.000088
0.091952	1.149637	0.000154
0.092032	1.143919	0.000126
0.092112	1.148103	0.000053
0.092192	1.157539	0.000069
0.092272	1.157904	0.000160
0.092352	1.150224	0.000175
0.092432	1.149930	0.000087
0.092513	1.160131	0.000055
0.092593	1.165296	0.000152
0.092673	1.157885	0.000224
0.092753	1.152379	0.000148
0.092833	1.160786	0.000059
0.092913	1.170909	0.000132
0.092993	1.166530	0.000267
0.093073	1.156292	0.000240
0.093153	1.160039	0.000096
0.093233	1.173914	0.000107
0.093313	1.175367	0.000297
0.093393	1.162326	0.000364
0.093473	1.158781	0.000191
0.093554	1.173690	0.000094
0.093634	1.183230	0.000308
0.093714	1.170827	0.000528
0.093794	1.158171	0.000386
0.093874	1.169847	0.000133
0.093954	1.188596	0.000301
0.094034	1.181787	0.000749
0.094114	1.159532	0.000771
0.094194	1.162015	0.000320
0.094274	1.189392	0.000298
0.094354	1.194944	0.001088
0.094434	1.164347	0.001617
0.094515	1.148824	0.000985
0.094595	1.181656	0.000414
0.094675	1.210171	0.001806
0.094755	1.174515	0.004181
0.094835	1.121783	0.004071
0.094915	1.149194	0.001689
0.094995	1.226495	0.005207
0.095075	1.181162	0.024619
0.095155	0.930222	0.058938
0.095235	0.654110	0.091474
0.095315	0.629530	0.101580
0.095395	0.900817	0.082688
0.095475	1.220625	0.048033
0.095556	1.342604	0.018247
0.095636	1.280365	0.004334
0.095716	1.218111	0.002690
0.095796	1.244873	0.003880
0.095876	1.283301	0.002909
0.095956	1.255830	0.000881
0.096036	1.202805	0.000065
0.096116	1.197170	0.000404
0.096196	1.226276	0.000584
0.096276	1.226800	0.000249
0.096356	1.192922	0.000006
0.096436	1.177151	0.000122
0.096517	1.197814	0.000232
0.096597	1.213211	0.000113
0.096677	1.196021	0.000003
0.096757	1.176241	0.000085
0.096837	1.186025	0.000183
0.096917	1.206263	0.000116
0.096997	1.202520	0.000007
0.097077	1.183370	0.000040
0.097157	1.182733	0.000142
0.097237	1.201317	0.000131
0.097317	1.207596	0.000031
0.097397	1.192709	0.000009
0.097477	1.183971	0.000087
0.097558	1.196806	0.000122
0.097638	1.209333	0.000055
0.097718	1.201198	0.000001
0.097798	1.187939	0.000040
0.097878	1.193055	0.000094
0.097958	1.207790	0.000068
0.098038	1.207271	0.000009
0.098118	1.193421	0.000012
0.098198	1.190773	0.000061
0.098278	1.203920	0.000067
0.098358	1.210258	0.000022
0.098438	1.199344	0.000001
0.098519	1.190478	0.000033
0.098599	1.199013	0.000057
0.098679	1.210108	0.000032
0.098759	1.204678	0.000001
0.098839	1.192232	0.000014
0.098919	1.194265	0.000042
0.098999	1.207201	0.000036
0.099079	1.208569	0.000007
0.099159	1.195638	0.000004
0.099239	1.190325	0.000029
0.099319	1.201892	0.000037
0.099399	1.210592	0.000014
0.099479	1.199859	0.000005
0.099560	1.183147	0.000041
0.099640	1.181542	0.000094
0.099720	1.190533	0.000112
0.099800	1.190161	0.000087
0.099880	1.178975	0.000051
0.099960	1.174939	0.000029
0.100040	1.184804	0.000021
0.100120	1.194706	0.000018
0.100200	1.194851	0.000017
0.100280	1.193627	0.000016
0.100360	1.198984	0.000015
0.100440	1.203124	0.000015
0.100521	1.197853	0.000016
0.100601	1.191389	0.000015
0.100681	1.194920	0.000012
0.100761	1.202358	0.000012
0.100841	1.200223	0.000016
0.100921	1.191392	0.000017
0.101001	1.190703	0.000012
0.101081	1.199115	0.000009
0.101161	1.201541	0.000016
0.101241	1.192972	0.000022
0.101321	1.187598	0.000015
0.101401	1.194363	0.000006
0.101481	1.201078	0.000013
0.101562	1.195302	0.000026
0.101642	1.186223	0.000022
0.101722	1.189073	0.000007
0.101802	1.198497	0.000008
0.101882	1.197399	0.000028
0.101962	1.186710	0.000034
0.102042	1.184273	0.000013
0.102122	1.193921	0.000003
0.102202	1.198280	0.000026
0.102282	1.188720	0.000047
0.102362	1.180882	0.000028
0.102442	1.187917	0.000002
0.102523	1.197150	0.000020
0.102603	1.191503	0.000059
0.102683	1.179543	0.000053
0.102763	1.181393	0.000010
0.102843	1.193558	0.000009
0.102923	1.194032	0.000066
0.103003	1.180492	0.000088
0.103083	1.175444	0.000035
0.103163	1.187479	0.000001
0.103243	1.195164	0.000064
0.103323	1.183505	0.000134
0.103403	1.171174	0.000090
0.103483	1.179319	0.000006
0.103564	1.193796	0.000052
0.103644	1.187929	0.000188
0.103724	1.169553	0.000194
0.103804	1.169812	0.000051
0.103884	1.188926	0.000032
0.103964	1.192771	0.000250
0.104044	1.171367	0.000388
0.104124	1.159807	0.000200
0.104204	1.179454	0.000028
0.104284	1.196810	0.000327
0.104364	1.177447	0.000791
0.104444	1.149782	0.000672
0.104525	1.162997	0.000153
0.104605	1.198442	0.000473
0.104685	1.189723	0.001926
0.104765	1.137520	0.002662
0.104845	1.127872	0.001342
0.104925	1.191708	0.001275
0.105005	1.212566	0.009600
0.105085	1.061532	0.029721
0.105165	0.803536	0.054526
0.105245	0.671059	0.069518
0.105325	0.801144	0.064788
0.105405	1.071162	0.043982
0.105485	1.249285	0.020747
0.105566	1.255573	0.006610
0.105646	1.201713	0.002910
0.105726	1.201562	0.003566
0.105806	1.237565	0.003258
0.105886	1.236582	0.001523
0.105966	1.196836	0.000343
0.106046	1.176101	0.000407
