# Freq_range	Reflection	Transmission
0.080000	0.787955	0.000276
0.080040	0.789639	0.000259
0.080080	0.791731	0.000266
0.080120	0.793071	0.000276
0.080160	0.793851	0.000264
0.080200	0.795240	0.000245
0.080240	0.797309	0.000245
0.080280	0.798944	0.000256
0.080320	0.799828	0.000252
0.080360	0.800968	0.000234
0.080400	0.802895	0.000228
0.080440	0.804753	0.000237
0.080480	0.805836	0.000239
0.080521	0.806817	0.000225
0.080561	0.808527	0.000213
0.080601	0.810501	0.000219
0.080641	0.811829	0.000225
0.080681	0.812761	0.000216
0.080721	0.814232	0.000202
0.080761	0.816208	0.000203
0.080801	0.817777	0.000211
0.080841	0.818766	0.000207
0.080881	0.820024	0.000193
0.080921	0.821903	0.000189
0.080961	0.823663	0.000196
0.081001	0.824794	0.000197
0.081041	0.825903	0.000186
0.081081	0.827616	0.000178
0.081121	0.829487	0.000182
0.081161	0.830807	0.000186
0.081201	0.831853	0.000178
0.081241	0.833372	0.000169
0.081281	0.835263	0.000170
0.081321	0.836777	0.000175
0.081361	0.837848	0.000171
0.081401	0.839186	0.000161
0.081441	0.841013	0.000159
0.081481	0.842690	0.000164
0.081522	0.843859	0.000164
0.081562	0.845061	0.000155
0.081602	0.846762	0.000150
0.081642	0.848543	0.000153
0.081682	0.849856	0.000156
0.081722	0.850988	0.000149
0.081762	0.852532	0.000142
0.081802	0.854344	0.000144
0.081842	0.855814	0.000147
0.081882	0.856948	0.000144
0.081922	0.858338	0.000136
0.081962	0.860111	0.000135
0.082002	0.861720	0.000139
0.082042	0.862918	0.000138
0.082082	0.864185	0.000131
0.082122	0.865864	0.000127
0.082162	0.867567	0.000130
0.082202	0.868874	0.000131
0.082242	0.870068	0.000126
0.082282	0.871621	0.000121
0.082322	0.873362	0.000122
0.082362	0.874794	0.000125
0.082402	0.875974	0.000122
0.082442	0.877396	0.000116
0.082482	0.879116	0.000115
0.082523	0.880665	0.000118
0.082563	0.881885	0.000117
0.082603	0.883197	0.000112
0.082643	0.884846	0.000109
0.082683	0.886481	0.000112
0.082723	0.887781	0.000112
0.082763	0.889020	0.000108
0.082803	0.890568	0.000104
0.082843	0.892244	0.000105
0.082883	0.893644	0.000107
0.082923	0.894857	0.000104
0.082963	0.896295	0.000100
0.083003	0.897962	0.000100
0.083043	0.899459	0.000102
0.083083	0.900694	0.000101
0.083123	0.902033	0.000096
0.083163	0.903648	0.000095
0.083203	0.905222	0.000096
0.083243	0.906514	0.000097
0.083283	0.907782	0.000093
0.083323	0.909317	0.000091
0.083363	0.910931	0.000091
0.083403	0.912301	0.000093
0.083443	0.913537	0.000090
0.083483	0.914978	0.000087
0.083524	0.916593	0.000087
0.083564	0.918044	0.000088
0.083604	0.919286	0.000087
0.083644	0.920639	0.000084
0.083684	0.922217	0.000083
0.083724	0.923734	0.000084
0.083764	0.925016	0.000084
0.083804	0.926301	0.000081
0.083844	0.927813	0.000079
0.083884	0.929371	0.000080
0.083924	0.930712	0.000081
0.083964	0.931960	0.000079
0.084004	0.933393	0.000077
0.084044	0.934957	0.000077
0.084084	0.936365	0.000078
0.084124	0.937607	0.000077
0.084164	0.938962	0.000074
0.084204	0.940500	0.000073
0.084244	0.941965	0.000074
0.084284	0.943233	0.000074
0.084324	0.944523	0.000072
0.084364	0.946008	0.000070
0.084404	0.947511	0.000071
0.084444	0.948823	0.000072
0.084484	0.950074	0.000070
0.084525	0.951491	0.000068
0.084565	0.953004	0.000068
0.084605	0.954370	0.000069
0.084645	0.955607	0.000068
0.084685	0.956954	0.000066
0.084725	0.958449	0.000065
0.084765	0.959864	0.000066
0.084805	0.961114	0.000066
0.084845	0.962401	0.000064
0.084885	0.963853	0.000063
0.084925	0.965302	0.000064
0.084965	0.966584	0.000064
0.085005	0.967829	0.000062
0.085045	0.969223	0.000061
0.085085	0.970684	0.000061
0.085125	0.972009	0.000062
0.085165	0.973234	0.000061
0.085205	0.974566	0.000059
0.085245	0.976015	0.000059
0.085285	0.977380	0.000060
0.085325	0.978609	0.000059
0.085365	0.979884	0.000058
0.085405	0.981298	0.000057
0.085445	0.982694	0.000058
0.085485	0.983945	0.000058
0.085526	0.985176	0.000056
0.085566	0.986542	0.000055
0.085606	0.987950	0.000056
0.085646	0.989233	0.000056
0.085686	0.990440	0.000055
0.085726	0.991749	0.000054
0.085766	0.993150	0.000054
0.085806	0.994466	0.000054
0.085846	0.995669	0.000054
0.085886	0.996925	0.000053
0.085926	0.998297	0.000052
0.085966	0.999640	0.000053
0.086006	1.000856	0.000053
0.086046	1.002068	0.000052
0.086086	1.003398	0.000051
0.086126	1.004753	0.000051
0.086166	1.005992	0.000051
0.086206	1.007177	0.000050
0.086246	1.008456	0.000049
0.086286	1.009806	0.000049
0.086326	1.011072	0.000050
0.086366	1.012246	0.000049
0.086406	1.013475	0.000048
0.086446	1.014802	0.000048
0.086486	1.016091	0.000048
0.086527	1.017269	0.000048
0.086567	1.018455	0.000047
0.086607	1.019745	0.000047
0.086647	1.021046	0.000047
0.086687	1.022240	0.000047
0.086727	1.023396	0.000047
0.086767	1.024640	0.000046
0.086807	1.025937	0.000046
0.086847	1.027152	0.000046
0.086887	1.028292	0.000046
0.086927	1.029489	0.000045
0.086967	1.030767	0.000045
0.087007	1.032001	0.000045
0.087047	1.033139	0.000045
0.087087	1.034293	0.000044
0.087127	1.035539	0.000044
0.087167	1.036783	0.000044
0.087207	1.037930	0.000044
0.087247	1.039052	0.000044
0.087287	1.040256	0.000043
0.087327	1.041498	0.000043
0.087367	1.042661	0.000043
0.087407	1.043762	0.000043
0.087447	1.044922	0.000042
0.087487	1.046147	0.000042
0.087528	1.047325	0.000042
0.087568	1.048420	0.000042
0.087608	1.049537	0.000042
0.087648	1.050734	0.000041
0.087688	1.051920	0.000042
0.087728	1.053019	0.000042
0.087768	1.054102	0.000041
0.087808	1.055261	0.000041
0.087848	1.056446	0.000041
0.087888	1.057555	0.000041
0.087928	1.058615	0.000041
0.087968	1.059732	0.000040
0.088008	1.060902	0.000040
0.088048	1.062022	0.000040
0.088088	1.063071	0.000040
0.088128	1.064147	0.000040
0.088168	1.065292	0.000039
0.088208	1.066418	0.000040
0.088248	1.067466	0.000040
0.088288	1.068506	0.000039
0.088328	1.069617	0.000039
0.088368	1.070742	0.000039
0.088408	1.071795	0.000039
0.088448	1.072810	0.000039
0.088488	1.073880	0.000038
0.088529	1.074993	0.000038
0.088569	1.076054	0.000039
0.088609	1.077053	0.000039
0.088649	1.078084	0.000038
0.088689	1.079174	0.000038
0.088729	1.080240	0.000038
0.088769	1.081234	0.000038
0.088809	1.082228	0.000038
0.088849	1.083286	0.000038
0.088889	1.084351	0.000038
0.088929	1.085346	0.000038
0.088969	1.086312	0.000038
0.089009	1.087333	0.000037
0.089049	1.088386	0.000037
0.089089	1.089386	0.000038
0.089129	1.090334	0.000037
0.089169	1.091315	0.000037
0.089209	1.092348	0.000037
0.089249	1.093351	0.000037
0.089289	1.094290	0.000037
0.089329	1.095235	0.000037
0.089369	1.096238	0.000037
0.089409	1.097240	0.000037
0.089449	1.098176	0.000037
0.089489	1.099091	0.000037
0.089530	1.100059	0.000036
0.089570	1.101051	0.000037
0.089610	1.101989	0.000037
0.089650	1.102883	0.000037
0.089690	1.103812	0.000036
0.089730	1.104785	0.000036
0.089770	1.105725	0.000037
0.089810	1.106606	0.000037
0.089850	1.107499	0.000036
0.089890	1.108445	0.000036
0.089930	1.109382	0.000036
0.089970	1.110258	0.000037
0.090010	1.111120	0.000036
0.090050	1.112032	0.000036
0.090090	1.112961	0.000036
0.090130	1.113836	0.000037
0.090170	1.114674	0.000037
0.090210	1.115549	0.000036
