# Freq_range	Reflection	Transmission
0.060000	0.176293	1.045873
0.060080	0.154501	0.982953
0.060160	0.210947	1.004378
0.060240	0.187510	0.941944
0.060320	0.242593	0.955383
0.060400	0.226518	0.901921
0.060480	0.270781	0.901034
0.060561	0.269907	0.861935
0.060641	0.296205	0.844017
0.060721	0.315048	0.820858
0.060801	0.320364	0.787020
0.060881	0.358873	0.777799
0.060961	0.345006	0.732277
0.061041	0.398528	0.732401
0.061121	0.371548	0.681271
0.061201	0.431956	0.684950
0.061281	0.400622	0.634651
0.061361	0.458255	0.636327
0.061441	0.431881	0.592331
0.061522	0.477738	0.587810
0.061602	0.464074	0.553714
0.061682	0.491725	0.540819
0.061762	0.495339	0.517962
0.061842	0.502137	0.496663
0.061922	0.523641	0.484251
0.062002	0.511012	0.456333
0.062082	0.547202	0.451956
0.062162	0.520071	0.420398
0.062242	0.564849	0.420753
0.062322	0.530404	0.388977
0.062402	0.576208	0.390622
0.062482	0.542335	0.361804
0.062563	0.581727	0.361799
0.062643	0.555458	0.338328
0.062723	0.582526	0.334670
0.062803	0.568815	0.317854
0.062883	0.580163	0.309670
0.062963	0.581165	0.299664
0.063043	0.576323	0.287172
0.063123	0.591264	0.283126
0.063203	0.572535	0.267422
0.063283	0.598123	0.267761
0.063363	0.569949	0.250495
0.063443	0.601186	0.253277
0.063524	0.569196	0.236290
0.063604	0.600413	0.239564
0.063684	0.570356	0.224553
0.063764	0.596253	0.226665
0.063844	0.573023	0.214919
0.063924	0.589553	0.214727
0.064004	0.576437	0.206972
0.064084	0.581391	0.203949
0.064164	0.579668	0.200293
0.064244	0.572892	0.194530
0.064324	0.581794	0.194511
0.064404	0.565053	0.186624
0.064484	0.582072	0.189343
0.064565	0.558604	0.180309
0.064645	0.580051	0.184611
0.064725	0.553920	0.175581
0.064805	0.575629	0.180247
0.064885	0.550996	0.172346
0.064965	0.569049	0.176288
0.065045	0.549488	0.170443
0.065125	0.560834	0.172849
0.065205	0.548798	0.169667
0.065285	0.551686	0.170100
0.065365	0.548194	0.169794
0.065445	0.542359	0.168231
0.065526	0.546933	0.170620
0.065606	0.533534	0.167425
0.065686	0.544389	0.171985
0.065766	0.525713	0.167830
0.065846	0.540136	0.173797
0.065926	0.519146	0.169544
0.066006	0.534001	0.176043
0.066086	0.513806	0.172608
0.066166	0.526071	0.178796
0.066246	0.509397	0.177009
0.066326	0.516655	0.182207
0.066406	0.505421	0.182693
0.066486	0.506206	0.186492
0.066567	0.501251	0.189585
0.066647	0.495236	0.191910
0.066727	0.496236	0.197617
0.066807	0.484207	0.198744
0.066887	0.489795	0.206754
0.066967	0.473444	0.207273
0.067047	0.481489	0.217021
0.067127	0.463070	0.217758
0.067207	0.471078	0.228526
0.067287	0.452972	0.230423
0.067367	0.458524	0.241474
0.067447	0.442808	0.245456
0.067528	0.443971	0.256171
0.067608	0.432050	0.263011
0.067688	0.427687	0.273020
0.067768	0.420056	0.283221
0.067848	0.409981	0.292498
0.067928	0.406163	0.306221
0.068008	0.391120	0.315131
0.068088	0.389782	0.332165
0.068168	0.371252	0.341449
0.068248	0.370490	0.361251
0.068328	0.350357	0.371939
0.068408	0.348091	0.393730
0.068488	0.328239	0.406986
0.068569	0.322652	0.429893
0.068649	0.304573	0.446803
0.068729	0.294506	0.470031
0.068809	0.279002	0.491373
0.068889	0.264214	0.514362
0.068969	0.251279	0.540371
0.069049	0.232522	0.562910
0.069129	0.221432	0.593115
0.069209	0.200287	0.615364
0.069289	0.189907	0.648525
0.069369	0.168432	0.670919
0.069449	0.157652	0.705125
0.069530	0.137893	0.728170
0.069610	0.126074	0.761104
0.069690	0.109597	0.785097
0.069770	0.096862	0.814450
0.069850	0.084427	0.839210
0.069930	0.071673	0.863146
0.070010	0.063169	0.887867
0.070090	0.051768	0.905420
0.070170	0.046417	0.928720
0.070250	0.037710	0.939987
0.070330	0.034449	0.960177
0.070410	0.029233	0.966230
0.070490	0.027108	0.981728
0.070571	0.025331	0.984276
0.070651	0.023736	0.994046
0.070731	0.024514	0.994963
0.070811	0.023213	0.998822
0.070891	0.025147	0.999707
0.070971	0.024107	0.998429
0.071051	0.025745	1.000312
0.071131	0.024915	0.995499
0.071211	0.025172	0.998766
0.071291	0.024342	0.992540
0.071371	0.022756	0.997032
0.071451	0.021580	0.991630
0.071532	0.018357	0.996835
0.071612	0.016570	0.994172
0.071692	0.012483	0.999426
0.071772	0.010247	1.000687
0.071852	0.006497	1.005277
0.071932	0.004770	1.010544
0.072012	0.002940	1.013681
0.072092	0.003757	1.021617
0.072172	0.005894	1.022248
0.072252	0.012372	1.029910
0.072332	0.021130	1.026447
0.072412	0.037022	1.029388
0.072492	0.055584	1.019557
0.072573	0.084211	1.012516
0.072653	0.115607	0.993634
0.072733	0.158267	0.972024
0.072813	0.203952	0.941942
0.072893	0.258503	0.903845
0.072973	0.316789	0.862241
0.073053	0.377547	0.809807
0.073133	0.443125	0.758945
0.073213	0.502670	0.697979
0.073293	0.567966	0.642191
0.073373	0.619905	0.579940
0.073453	0.677535	0.524126
0.073534	0.718428	0.466723
0.073614	0.763257	0.414933
0.073694	0.792753	0.365966
0.073774	0.822679	0.320731
0.073854	0.842400	0.281243
0.073934	0.858006	0.243620
0.074014	0.870208	0.212921
0.074094	0.873878	0.182880
0.074174	0.880548	0.159476
0.074254	0.875532	0.136319
0.074334	0.878050	0.118578
0.074414	0.867711	0.101274
0.074494	0.866892	0.087779
0.074575	0.854210	0.075196
0.074655	0.850519	0.064856
0.074735	0.837810	0.055911
0.074815	0.831586	0.047942
0.074895	0.820409	0.041681
0.074975	0.812037	0.035536
0.075055	0.803218	0.031178
0.075135	0.793214	0.026472
0.075215	0.786955	0.023412
0.075295	0.775982	0.019859
0.075375	0.772012	0.017658
0.075455	0.760834	0.015031
0.075536	0.758580	0.013384
0.075616	0.747988	0.011494
0.075696	0.746734	0.010205
0.075776	0.737458	0.008888
